FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Combined_Key,Active
,,Alberta,Canada,2020-04-01 22:04:44,53.9333,-116.5765,754,9,0,"Alberta, Canada",745
,,Anguilla,United Kingdom,2020-04-01 23:08:13,18.2206,-63.0686,2,0,0,"Anguilla, United Kingdom",2
,,Anhui,China,2020-03-08 05:19:01,31.8257,117.2264,990,6,984,"Anhui, China",0
,,Aruba,Netherlands,2020-04-01 23:08:13,12.5211,-69.9683,55,0,1,"Aruba, Netherlands",54
,,Australian Capital Territory,Australia,2020-04-01 23:14:26,-35.4735,149.0124,84,1,8,"Australian Capital Territory, Australia",75
,,Beijing,China,2020-04-01 00:55:49,40.1824,116.4142,580,8,418,"Beijing, China",154
,,Bermuda,United Kingdom,2020-04-01 23:08:13,32.3078,-64.7505,32,0,10,"Bermuda, United Kingdom",22
,,British Columbia,Canada,2020-04-01 22:04:44,53.7267,-127.6476,1013,24,0,"British Columbia, Canada",989
,,British Virgin Islands,United Kingdom,2020-04-01 23:08:13,18.4207,-64.64,3,0,0,"British Virgin Islands, United Kingdom",3
,,Cayman Islands,United Kingdom,2020-04-01 23:08:13,19.3133,-81.2546,22,1,0,"Cayman Islands, United Kingdom",21
,,Channel Islands,United Kingdom,2020-04-01 23:08:13,49.3723,-2.3644,172,3,0,"Channel Islands, United Kingdom",169
,,Chongqing,China,2020-03-29 00:14:12,30.0572,107.874,579,6,570,"Chongqing, China",3
,,Curacao,Netherlands,2020-04-01 23:08:13,12.1696,-68.99,11,1,3,"Curacao, Netherlands",7
,,Diamond Princess,Canada,2020-04-01 22:04:44,0.0,0.0,0,1,0,"Diamond Princess, Canada",-1
,,Faroe Islands,Denmark,2020-04-01 23:08:13,61.8926,-6.9118,173,0,75,"Faroe Islands, Denmark",98
,,French Guiana,France,2020-04-01 23:08:13,4.0,-53.0,51,0,15,"French Guiana, France",36
,,French Polynesia,France,2020-04-01 23:08:13,-17.6797,-149.4068,37,0,0,"French Polynesia, France",37
,,Fujian,China,2020-04-01 11:54:10,26.0789,117.9874,345,1,298,"Fujian, China",46
,,Gansu,China,2020-04-01 14:00:34,37.8099,101.0583,138,2,127,"Gansu, China",9
,,Gibraltar,United Kingdom,2020-04-01 23:08:13,36.1408,-5.3536,81,0,34,"Gibraltar, United Kingdom",47
,,Grand Princess,Canada,2020-04-01 22:04:44,0.0,0.0,13,0,0,"Grand Princess, Canada",13
,,Greenland,Denmark,2020-04-01 23:08:13,71.7069,-42.6043,10,0,2,"Greenland, Denmark",8
,,Guadeloupe,France,2020-04-01 23:08:13,16.265,-61.551,125,6,24,"Guadeloupe, France",95
,,Guangdong,China,2020-04-01 05:36:53,23.3417,113.4244,1501,8,1357,"Guangdong, China",136
,,Guangxi,China,2020-03-20 04:33:45,23.8298,108.7881,254,2,250,"Guangxi, China",2
,,Guizhou,China,2020-03-18 01:37:43,26.8154,106.8748,146,2,144,"Guizhou, China",0
,,Hainan,China,2020-03-24 04:29:15,19.1959,109.7453,168,6,168,"Hainan, China",-6
,,Hebei,China,2020-04-01 00:13:24,39.549,116.1306,323,6,310,"Hebei, China",7
,,Heilongjiang,China,2020-03-26 00:15:39,47.862,127.7615,484,13,469,"Heilongjiang, China",2
,,Henan,China,2020-03-29 01:44:01,33.882,113.614,1276,22,1251,"Henan, China",3
,,Hong Kong,China,2020-04-01 11:07:39,22.3,114.2,765,4,147,"Hong Kong, China",614
,,Hubei,China,2020-04-01 06:20:26,30.9756,112.2707,67802,3193,63326,"Hubei, China",1283
,,Hunan,China,2020-03-14 08:25:05,27.6104,111.7088,1018,4,1014,"Hunan, China",0
,,Inner Mongolia,China,2020-04-01 06:20:26,44.0935,113.9448,111,1,74,"Inner Mongolia, China",36
,,Isle of Man,United Kingdom,2020-04-01 23:08:13,54.2361,-4.5481,68,1,0,"Isle of Man, United Kingdom",67
,,Jiangsu,China,2020-03-31 01:10:41,32.9711,119.455,646,0,631,"Jiangsu, China",15
,,Jiangxi,China,2020-03-30 03:15:15,27.614,115.7221,937,1,935,"Jiangxi, China",1
,,Jilin,China,2020-03-29 00:28:20,43.6661,126.1923,98,1,92,"Jilin, China",5
,,Liaoning,China,2020-04-01 00:18:27,41.2956,122.6085,140,2,124,"Liaoning, China",14
,,Macau,China,2020-03-31 13:54:04,22.1667,113.55,41,0,10,"Macau, China",31
,,Manitoba,Canada,2020-04-01 22:04:44,53.7609,-98.8139,127,1,0,"Manitoba, Canada",126
,,Martinique,France,2020-04-01 23:08:13,14.6415,-61.0242,135,3,27,"Martinique, France",105
,,Mayotte,France,2020-04-01 23:08:13,-12.8275,45.166244,101,1,10,"Mayotte, France",90
,,Montserrat,United Kingdom,2020-04-01 23:08:13,16.742498,-62.187366,5,0,0,"Montserrat, United Kingdom",5
,,New Brunswick,Canada,2020-04-01 22:04:44,46.5653,-66.4619,81,0,0,"New Brunswick, Canada",81
,,New Caledonia,France,2020-04-01 23:08:13,-20.904305,165.618042,16,0,0,"New Caledonia, France",16
,,New South Wales,Australia,2020-04-01 23:14:26,-33.8688,151.2093,2182,9,4,"New South Wales, Australia",2169
,,Newfoundland and Labrador,Canada,2020-04-01 22:04:44,53.1355,-57.6604,175,1,0,"Newfoundland and Labrador, Canada",174
,,Ningxia,China,2020-03-16 08:47:05,37.2692,106.1655,75,0,75,"Ningxia, China",0
,,Northern Territory,Australia,2020-04-01 23:14:26,-12.4634,130.8456,19,0,0,"Northern Territory, Australia",19
,,Northwest Territories,Canada,2020-04-01 22:04:44,64.8255,-124.8457,2,0,0,",Northwest Territories,Canada",2
,,Nova Scotia,Canada,2020-04-01 22:04:44,44.682,-63.7443,173,0,0,"Nova Scotia, Canada",173
,,Ontario,Canada,2020-04-01 22:04:44,51.2538,-85.3232,2392,37,0,"Ontario, Canada",2355
,,Prince Edward Island,Canada,2020-04-01 22:04:44,46.5107,-63.4168,21,0,0,"Prince Edward Island, Canada",21
,,Qinghai,China,2020-02-23 11:19:02,35.7452,95.9956,18,0,18,"Qinghai, China",0
,,Quebec,Canada,2020-04-01 22:04:44,52.9399,-73.5491,4611,33,0,"Quebec, Canada",4578
,,Queensland,Australia,2020-04-01 23:14:26,-27.4698,153.0251,781,2,8,"Queensland, Australia",771
,,Recovered,Canada,2020-04-01 22:04:44,0.0,0.0,0,0,1324,"Recovered, Canada",-1324
,,Recovered,United States,2020-04-01 23:08:29,0.0,0.0,0,0,8536,"Recovered, US",-8536
,,Reunion,France,2020-04-01 23:08:13,-21.1151,55.5364,281,0,40,"Reunion, France",241
,,Saint Barthelemy,France,2020-04-01 23:08:13,17.9,-62.8333,6,0,1,"Saint Barthelemy, France",5
,,Saskatchewan,Canada,2020-04-01 22:04:44,52.9399,-106.4509,193,3,0,"Saskatchewan, Canada",190
,,Shaanxi,China,2020-04-01 01:36:18,35.1917,108.8701,255,3,242,"Shaanxi, China",10
,,Shandong,China,2020-03-31 00:44:17,36.3427,118.1498,774,7,753,"Shandong, China",14
,,Shanghai,China,2020-04-01 00:04:18,31.202,121.4491,516,6,341,"Shanghai, China",169
,,Shanxi,China,2020-03-31 23:35:56,37.5777,112.2922,137,0,133,"Shanxi, China",4
,,Sichuan,China,2020-04-01 11:54:10,30.6171,102.7103,552,3,537,"Sichuan, China",12
,,Sint Maarten,Netherlands,2020-04-01 23:08:13,18.0425,-63.0548,16,1,6,"Sint Maarten, Netherlands",9
,,South Australia,Australia,2020-04-01 23:14:26,-34.9285,138.6007,367,0,6,"South Australia, Australia",361
,,St Martin,France,2020-04-01 23:08:13,18.0708,-63.0501,15,1,2,"St Martin, France",12
,,Tasmania,Australia,2020-04-01 23:14:26,-42.8821,147.3272,69,2,5,"Tasmania, Australia",62
,,Tianjin,China,2020-04-01 10:53:31,39.3054,117.323,176,3,135,"Tianjin, China",38
,,Tibet,China,2020-02-23 11:19:02,31.6927,88.0924,1,0,1,"Tibet, China",0
,,Turks and Caicos Islands,United Kingdom,2020-04-01 23:08:13,21.69400000000001,-71.7979,6,0,0,"Turks and Caicos Islands, United Kingdom",6
,,Victoria,Australia,2020-04-01 23:14:26,-37.8136,144.9631,968,4,343,"Victoria, Australia",621
,,Western Australia,Australia,2020-04-01 23:14:26,-31.9505,115.8605,392,2,48,"Western Australia, Australia",342
,,Xinjiang,China,2020-03-08 05:31:02,41.1129,85.2401,76,3,73,"Xinjiang, China",0
,,Yukon,Canada,2020-04-01 22:04:44,64.2823,-135.0,5,0,0,",Yukon,Canada",5
,,Yunnan,China,2020-03-31 23:31:54,24.974,101.487,182,2,172,"Yunnan, China",8
,,Zhejiang,China,2020-03-31 01:23:49,29.1832,120.0934,1257,1,1226,"Zhejiang, China",30
,,,Afghanistan,2020-04-01 23:08:13,33.93911,67.709953,237,4,5,Afghanistan,228
,,,Albania,2020-04-01 23:08:13,41.1533,20.1683,259,15,67,Albania,177
,,,Algeria,2020-04-01 23:08:13,28.0339,1.6596,847,58,61,Algeria,728
,,,Andorra,2020-04-01 23:08:13,42.5063,1.5218,390,14,10,Andorra,366
,,,Angola,2020-04-01 23:08:13,-11.2027,17.8739,8,2,1,Angola,5
,,,Antigua and Barbuda,2020-04-01 23:08:13,17.0608,-61.7964,7,0,0,Antigua and Barbuda,7
,,,Argentina,2020-04-01 23:08:13,-38.4161,-63.6167,1054,31,248,Argentina,775
,,,Armenia,2020-04-01 23:08:13,40.0691,45.0382,571,4,31,Armenia,536
,,,Austria,2020-04-01 23:08:13,47.5162,14.5501,10711,146,1436,Austria,9129
,,,Azerbaijan,2020-04-01 23:08:13,40.1431,47.5769,359,5,26,Azerbaijan,328
,,,Bahamas,2020-04-01 23:08:13,25.025885,-78.035889,21,1,1,Bahamas,19
,,,Bahrain,2020-04-01 23:08:13,26.0275,50.55,569,4,337,Bahrain,228
,,,Bangladesh,2020-04-01 23:08:13,23.685,90.3563,54,6,25,Bangladesh,23
,,,Barbados,2020-04-01 23:08:13,13.1939,-59.5432,34,0,0,Barbados,34
,,,Belarus,2020-04-01 23:08:13,53.7098,27.9534,163,2,53,Belarus,108
,,,Belgium,2020-04-01 23:08:13,50.8333,4.469936,13964,828,2132,Belgium,11004
,,,Belize,2020-04-01 23:08:13,17.1899,-88.4976,3,0,0,",,Belize",3
,,,Benin,2020-04-01 23:08:13,9.3077,2.3158,13,0,1,Benin,12
,,,Bhutan,2020-04-01 23:08:13,27.5142,90.4336,4,0,0,Bhutan,4
,,,Bolivia,2020-04-01 23:08:13,-16.2902,-63.5887,115,7,1,Bolivia,107
,,,Bosnia and Herzegovina,2020-04-01 23:08:13,43.9159,17.6791,459,13,19,Bosnia and Herzegovina,427
,,,Botswana,2020-04-01 23:08:13,-22.3285,24.6849,4,1,0,Botswana,3
,,,Brazil,2020-04-01 23:08:13,-14.235,-51.9253,6836,240,127,Brazil,6469
,,,Brunei,2020-04-01 23:08:13,4.5353,114.7277,131,1,52,Brunei,78
,,,Bulgaria,2020-04-01 23:08:13,42.7339,25.4858,422,10,20,Bulgaria,392
,,,Burkina Faso,2020-04-01 23:08:13,12.2383,-1.5616,282,16,46,Burkina Faso,220
,,,Burma,2020-04-01 23:08:13,21.9162,95.956,16,1,0,Burma,15
,,,Burundi,2020-04-01 23:08:13,-3.3731,29.9189,2,0,0,Burundi,2
,,,Cabo Verde,2020-04-01 23:08:13,16.5388,-23.0418,6,1,0,Cabo Verde,5
,,,Cambodia,2020-04-01 23:08:13,11.55,104.9167,109,0,25,Cambodia,84
,,,Cameroon,2020-04-01 23:08:13,3.848,11.5021,233,6,10,Cameroon,217
,,,Central African Republic,2020-04-01 23:08:13,6.6111,20.9394,3,0,0,Central African Republic,3
,,,Chad,2020-04-01 23:08:13,15.4542,18.7322,7,0,0,Chad,7
,,,Chile,2020-04-01 23:08:13,-35.6751,-71.543,3031,16,234,Chile,2781
,,,Colombia,2020-04-01 23:08:13,4.5709,-74.2973,1065,17,39,Colombia,1009
,,,Congo (Brazzaville),2020-04-01 23:08:13,-4.2634,15.2832,22,2,0,Congo (Brazzaville),20
,,,Congo (Kinshasa),2020-04-01 23:08:13,-4.322447,15.307045,109,9,3,Congo (Kinshasa),97
,,,Costa Rica,2020-04-01 23:08:13,9.7489,-83.7534,375,2,4,Costa Rica,369
,,,Cote d'Ivoire,2020-04-01 23:08:13,7.54,-5.5471,190,1,9,Cote d'Ivoire,180
,,,Croatia,2020-04-01 23:08:13,45.1,15.2,963,6,73,Croatia,884
,,,Cuba,2020-04-01 23:08:13,21.521757,-77.78116700000002,212,6,12,Cuba,194
,,,Cyprus,2020-04-01 23:08:13,35.1264,33.4299,320,9,28,Cyprus,283
,,,Czechia,2020-04-01 23:08:13,49.8175,15.473,3589,39,61,Czechia,3489
,,,Denmark,2020-04-01 23:08:13,56.2639,9.5018,3107,104,894,Denmark,2109
,,,Diamond Princess,2020-04-01 23:08:13,0.0,0.0,712,11,603,Diamond Princess,98
,,,Djibouti,2020-04-01 23:08:13,11.8251,42.5903,33,0,0,Djibouti,33
,,,Dominica,2020-04-01 23:08:13,15.415,-61.371,12,0,0,Dominica,12
,,,Dominican Republic,2020-04-01 23:08:13,18.7357,-70.1627,1284,57,9,Dominican Republic,1218
,,,Ecuador,2020-04-01 23:08:13,-1.8312,-78.1834,2758,98,58,Ecuador,2602
,,,Egypt,2020-04-01 23:08:13,26.820553000000004,30.802498,779,52,179,Egypt,548
,,,El Salvador,2020-04-01 23:08:13,13.7942,-88.8965,32,2,0,El Salvador,30
,,,Equatorial Guinea,2020-04-01 23:08:13,1.6508,10.2679,15,0,1,Equatorial Guinea,14
,,,Eritrea,2020-04-01 23:08:13,15.1794,39.7823,15,0,0,Eritrea,15
,,,Estonia,2020-04-01 23:08:13,58.5953,25.0136,779,5,33,Estonia,741
,,,Eswatini,2020-04-01 23:08:13,-26.5225,31.4659,9,0,0,Eswatini,9
,,,Ethiopia,2020-04-01 23:08:13,9.145,40.4897,29,0,2,Ethiopia,27
,,,Fiji,2020-04-01 23:08:13,-17.7134,178.065,5,0,0,Fiji,5
,,,Finland,2020-04-01 23:08:13,61.92411,25.748151,1446,17,10,Finland,1419
,,,France,2020-04-01 23:08:13,46.2276,2.2137,56989,4032,10934,France,42023
,,,Gabon,2020-04-01 23:08:13,-0.8037,11.6094,18,1,0,Gabon,17
,,,Gambia,2020-04-01 23:08:13,13.4432,-15.3101,4,1,2,Gambia,1
,,,Georgia,2020-04-01 23:08:13,42.3154,43.3569,117,0,23,Georgia,94
,,,Germany,2020-04-01 23:08:13,51.165691,10.451526,77981,931,18700,Germany,58350
,,,Ghana,2020-04-01 23:08:13,7.9465,-1.0232,195,5,31,Ghana,159
,,,Greece,2020-04-01 23:08:13,39.0742,21.8243,1415,50,52,Greece,1313
,,,Grenada,2020-04-01 23:08:13,12.1165,-61.679,9,0,0,Grenada,9
,,,Guatemala,2020-04-01 23:08:13,15.7835,-90.2308,39,1,12,Guatemala,26
,,,Guinea,2020-04-01 23:08:13,9.9456,-9.6966,30,0,0,Guinea,30
,,,Guinea-Bissau,2020-04-01 23:08:13,11.8037,-15.1804,9,0,0,Guinea-Bissau,9
,,,Guyana,2020-04-01 23:08:13,4.860416000000002,-58.93018000000001,19,3,0,Guyana,16
,,,Haiti,2020-04-01 23:08:13,18.9712,-72.2852,16,0,1,Haiti,15
,,,Holy See,2020-04-01 23:08:13,41.9029,12.4534,6,0,0,Holy See,6
,,,Honduras,2020-04-01 23:08:13,15.2,-86.2419,172,10,3,Honduras,159
,,,Hungary,2020-04-01 23:08:13,47.1625,19.5033,525,20,40,Hungary,465
,,,Iceland,2020-04-01 23:08:13,64.9631,-19.0208,1220,2,236,Iceland,982
,,,India,2020-04-01 23:08:13,20.593684,78.96288,1998,58,148,India,1792
,,,Indonesia,2020-04-01 23:08:13,-0.7893,113.9213,1677,157,103,Indonesia,1417
,,,Iran,2020-04-01 23:08:13,32.427908,53.68804599999999,47593,3036,15473,Iran,29084
,,,Iraq,2020-04-01 23:08:13,33.223191,43.679291,728,52,182,Iraq,494
,,,Ireland,2020-04-01 23:08:13,53.1424,-7.6921,3447,85,5,Ireland,3357
,,,Israel,2020-04-01 23:08:13,31.046051,34.851612,6092,26,241,Israel,5825
,,,Italy,2020-04-01 23:08:13,41.87194,12.56738,110574,13155,16847,Italy,80572
,,,Jamaica,2020-04-01 23:08:13,18.1096,-77.2975,44,3,2,Jamaica,39
,,,Japan,2020-04-01 23:08:13,36.204824,138.252924,2384,57,472,Japan,1855
,,,Jordan,2020-04-01 23:08:13,31.24,36.51,278,5,36,Jordan,237
,,,Kazakhstan,2020-04-01 23:08:13,48.0196,66.9237,380,3,26,Kazakhstan,351
,,,Kenya,2020-04-01 23:08:13,-0.0236,37.9062,81,1,3,Kenya,77
,,,South Korea,2020-04-01 23:08:13,35.90775700000001,127.766922,9887,165,5567,"Korea, South",4155
,,,Kosovo,2020-04-01 23:08:13,42.602636,20.902977,125,1,10,Kosovo,114
,,,Kuwait,2020-04-01 23:08:13,29.31166,47.481766,317,0,80,Kuwait,237
,,,Kyrgyzstan,2020-04-01 23:08:13,41.20438,74.766098,111,0,3,Kyrgyzstan,108
,,,Laos,2020-04-01 23:08:13,19.85627,102.495496,10,0,0,Laos,10
,,,Latvia,2020-04-01 23:08:13,56.8796,24.6032,446,0,1,Latvia,445
,,,Lebanon,2020-04-01 23:08:13,33.8547,35.8623,479,14,43,Lebanon,422
,,,Liberia,2020-04-01 23:08:13,6.4280550000000005,-9.429499,6,0,0,Liberia,6
,,,Libya,2020-04-01 23:08:13,26.3351,17.228331,10,0,0,Libya,10
,,,Liechtenstein,2020-04-01 23:08:13,47.14,9.55,72,0,0,Liechtenstein,72
,,,Lithuania,2020-04-01 23:08:13,55.1694,23.8813,581,8,7,Lithuania,566
,,,Luxembourg,2020-04-01 23:08:13,49.8153,6.1296,2319,29,80,Luxembourg,2210
,,,MS Zaandam,2020-04-01 23:08:13,0.0,0.0,9,2,0,",,MS Zaandam",7
,,,Madagascar,2020-04-01 23:08:13,-18.766947,46.869107,57,0,0,Madagascar,57
,,,Malaysia,2020-04-01 23:08:13,4.210483999999999,101.975766,2908,45,645,Malaysia,2218
,,,Maldives,2020-04-01 23:08:13,3.2028,73.2207,19,0,13,Maldives,6
,,,Mali,2020-04-01 23:08:13,17.570692,-3.996166000000001,31,3,0,Mali,28
,,,Malta,2020-04-01 23:08:13,35.9375,14.3754,188,0,2,Malta,186
,,,Mauritania,2020-04-01 23:08:13,21.0079,-10.9408,6,1,2,",,Mauritania",3
,,,Mauritius,2020-04-01 23:08:13,-20.348404,57.552152,161,6,0,Mauritius,155
,,,Mexico,2020-04-01 23:08:13,23.6345,-102.5528,1215,29,35,Mexico,1151
,,,Moldova,2020-04-01 23:08:13,47.4116,28.3699,423,5,23,Moldova,395
,,,Monaco,2020-04-01 23:08:13,43.7333,7.4167,55,1,2,Monaco,52
,,,Mongolia,2020-04-01 23:08:13,46.8625,103.8467,14,0,2,Mongolia,12
,,,Montenegro,2020-04-01 23:08:13,42.708678000000006,19.37439,123,2,0,Montenegro,121
,,,Morocco,2020-04-01 23:08:13,31.7917,-7.0926,654,39,29,Morocco,586
,,,Mozambique,2020-04-01 23:08:13,-18.665695,35.529562,10,0,0,Mozambique,10
,,,Namibia,2020-04-01 23:08:13,-22.9576,18.4904,14,0,2,Namibia,12
,,,Nepal,2020-04-01 23:08:13,28.1667,84.25,5,0,1,Nepal,4
,,,Netherlands,2020-04-01 23:08:13,52.1326,5.2913,13614,1173,250,Netherlands,12191
,,,New Zealand,2020-04-01 23:08:13,-40.9006,174.886,708,1,83,New Zealand,624
,,,Nicaragua,2020-04-01 23:08:13,12.865416,-85.207229,5,1,0,Nicaragua,4
,,,Niger,2020-04-01 23:08:13,17.607789,8.081666,74,5,0,Niger,69
,,,Nigeria,2020-04-01 23:08:13,9.082,8.6753,174,2,9,Nigeria,163
,,,North Macedonia,2020-04-01 23:08:13,41.6086,21.7453,354,11,17,North Macedonia,326
,,,Norway,2020-04-01 23:08:13,60.472,8.4689,4877,44,13,Norway,4820
,,,Oman,2020-04-01 23:08:13,21.512583,55.92325500000001,210,1,34,Oman,175
,,,Pakistan,2020-04-01 23:08:13,30.3753,69.3451,2118,27,94,Pakistan,1997
,,,Panama,2020-04-01 23:08:13,8.538,-80.7821,1181,30,9,Panama,1142
,,,Papua New Guinea,2020-04-01 23:08:13,-6.314993,143.95555,1,0,0,Papua New Guinea,1
,,,Paraguay,2020-04-01 23:08:13,-23.4425,-58.4438,69,3,1,Paraguay,65
,,,Peru,2020-04-01 23:08:13,-9.19,-75.0152,1323,38,394,Peru,891
,,,Philippines,2020-04-01 23:08:13,12.879721,121.774017,2311,96,50,Philippines,2165
,,,Poland,2020-04-01 23:08:13,51.9194,19.1451,2554,43,56,Poland,2455
,,,Portugal,2020-04-01 23:08:13,39.3999,-8.2245,8251,187,43,Portugal,8021
,,,Qatar,2020-04-01 23:08:13,25.3548,51.1839,835,2,71,Qatar,762
,,,Romania,2020-04-01 23:08:13,45.9432,24.9668,2460,92,252,Romania,2116
,,,Russia,2020-04-01 23:08:13,61.52401,105.318756,2777,24,190,Russia,2563
,,,Rwanda,2020-04-01 23:08:13,-1.9403,29.8739,82,0,0,Rwanda,82
,,,Saint Kitts and Nevis,2020-04-01 23:08:13,17.357822,-62.782998,8,0,0,Saint Kitts and Nevis,8
,,,Saint Lucia,2020-04-01 23:08:13,13.9094,-60.9789,13,0,1,Saint Lucia,12
,,,Saint Vincent and the Grenadines,2020-04-01 23:08:13,12.9843,-61.2872,2,0,1,Saint Vincent and the Grenadines,1
,,,San Marino,2020-04-01 23:08:13,43.9424,12.4578,236,26,13,San Marino,197
,,,Saudi Arabia,2020-04-01 23:08:13,23.885942,45.079162,1720,16,264,Saudi Arabia,1440
,,,Senegal,2020-04-01 23:08:13,14.4974,-14.4524,190,1,45,Senegal,144
,,,Serbia,2020-04-01 23:08:13,44.0165,21.0059,1060,28,0,Serbia,1032
,,,Seychelles,2020-04-01 23:08:13,-4.6796,55.492,10,0,0,Seychelles,10
,,,Sierra Leone,2020-04-01 23:08:13,8.460555000000001,-11.779889,2,0,0,Sierra Leone,2
,,,Singapore,2020-04-01 23:08:13,1.2833,103.8333,1000,3,245,Singapore,752
,,,Slovakia,2020-04-01 23:08:13,48.669,19.699,400,1,3,Slovakia,396
,,,Slovenia,2020-04-01 23:08:13,46.1512,14.9955,841,15,10,Slovenia,816
,,,Somalia,2020-04-01 23:08:13,5.152149,46.199616,5,0,1,Somalia,4
,,,South Africa,2020-04-01 23:08:13,-30.5595,22.9375,1380,5,50,South Africa,1325
,,,Spain,2020-04-01 23:08:13,40.463667,-3.74922,104118,9387,22647,Spain,72084
,,,Sri Lanka,2020-04-01 23:08:13,7.873054,80.77179699999998,146,3,21,Sri Lanka,122
,,,Sudan,2020-04-01 23:08:13,12.8628,30.2176,7,2,2,Sudan,3
,,,Suriname,2020-04-01 23:08:13,3.9193,-56.0278,10,0,0,Suriname,10
,,,Sweden,2020-04-01 23:08:13,60.128161,18.643501,4947,239,103,Sweden,4605
,,,Switzerland,2020-04-01 23:08:13,46.8182,8.2275,17768,488,2967,Switzerland,14313
,,,Syria,2020-04-01 23:08:13,34.802075,38.99681500000001,10,2,0,Syria,8
,,,Taiwan*,2020-04-01 10:56:33,23.7,121.0,329,5,39,Taiwan*,285
,,,Tanzania,2020-04-01 23:08:13,-6.369028,34.888822,20,1,1,Tanzania,18
,,,Thailand,2020-04-01 23:08:13,15.870032,100.992541,1771,12,505,Thailand,1254
,,,Timor-Leste,2020-04-01 23:08:13,-8.874217,125.727539,1,0,0,Timor-Leste,1
,,,Togo,2020-04-01 23:08:13,8.6195,0.8248,36,2,10,Togo,24
,,,Trinidad and Tobago,2020-04-01 23:08:13,10.6918,-61.2225,90,5,1,Trinidad and Tobago,84
,,,Tunisia,2020-04-01 23:08:13,33.886917,9.537499,423,12,5,Tunisia,406
,,,Turkey,2020-04-01 23:08:13,38.9637,35.2433,15679,277,333,Turkey,15069
,,,Uganda,2020-04-01 23:08:13,1.373333,32.290275,44,0,0,Uganda,44
,,,Ukraine,2020-04-01 23:08:13,48.3794,31.1656,794,20,13,Ukraine,761
,,,United Arab Emirates,2020-04-01 23:08:13,23.424076,53.847818,814,8,61,United Arab Emirates,745
,,,United Kingdom,2020-04-01 23:08:13,55.3781,-3.4360000000000004,29474,2352,135,United Kingdom,26987
,,,Uruguay,2020-04-01 23:08:13,-32.5228,-55.7658,338,2,41,Uruguay,295
,,,Uzbekistan,2020-04-01 23:08:13,41.377491,64.585262,181,2,12,Uzbekistan,167
,,,Venezuela,2020-04-01 23:08:13,6.4238,-66.5897,143,3,41,Venezuela,99
,,,Vietnam,2020-04-01 23:08:13,14.058324,108.277199,218,0,63,Vietnam,155
,,,West Bank and Gaza,2020-04-01 23:08:13,31.9522,35.2332,134,1,18,West Bank and Gaza,115
,,,Zambia,2020-04-01 23:08:13,-13.133897,27.849332,36,0,0,Zambia,36
,,,Zimbabwe,2020-04-01 23:08:13,-19.015438,29.154857,8,1,0,Zimbabwe,7
